Benchmark/0-4         	50000000	        37.9 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        37.9 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        37.4 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        37.5 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.7 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        37.2 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        37.3 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.8 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        37.9 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4         	10000000	       173 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       176 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       189 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       187 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       191 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       184 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       173 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
Benchmark/10-4        	 3000000	       590 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       588 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2000000	       591 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       589 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       592 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       589 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       588 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       587 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       587 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       589 ns/op	     592 B/op	      14 allocs/op
Benchmark/100-4       	  300000	      4856 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4772 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4776 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4780 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4774 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4778 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4778 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4794 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4790 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4776 ns/op	    7200 B/op	     107 allocs/op
Benchmark/1000-4      	   50000	     37181 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37154 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37315 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37208 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37093 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37190 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37232 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     38371 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37793 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     37106 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/10000-4     	    5000	    368490 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    372296 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    367813 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    369546 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    370415 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    371405 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    378634 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    370616 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    369623 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    368766 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/100000-4    	     500	   3885558 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3891050 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3882385 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3913883 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3880717 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3854525 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3906822 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3875448 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3874940 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3899372 ns/op	 3221760 B/op	  100787 allocs/op
Benchmark/1000000-4   	      30	  44566516 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  45003849 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  44933511 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  43756326 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  44523845 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  44232529 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  44089335 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  44655198 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  44731746 ns/op	32187920 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  45008474 ns/op	32187920 B/op	 1007817 allocs/op
