Benchmark/0-4         	50000000	        37.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        36.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       134 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       135 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       135 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
Benchmark/10-4        	 2000000	       737 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       744 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       729 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       733 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       729 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       731 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       728 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       730 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       736 ns/op	     736 B/op	      17 allocs/op
Benchmark/10-4        	 2000000	       729 ns/op	     736 B/op	      17 allocs/op
Benchmark/100-4       	  300000	      4098 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4070 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4168 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4085 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4093 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4071 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4072 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4114 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4076 ns/op	    4256 B/op	     109 allocs/op
Benchmark/100-4       	  300000	      4049 ns/op	    4256 B/op	     109 allocs/op
Benchmark/1000-4      	   50000	     35706 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     36017 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     35865 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     36311 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     35718 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     35647 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     35925 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     35716 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     35990 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/1000-4      	   50000	     35901 ns/op	   33216 B/op	    1023 allocs/op
Benchmark/10000-4     	    5000	    354648 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    354668 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    358471 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    354920 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    355219 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    354142 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    357889 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    354923 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    355507 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/10000-4     	    5000	    357783 ns/op	  322816 B/op	   10163 allocs/op
Benchmark/100000-4    	     500	   3725583 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3729922 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3733571 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3767239 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3758603 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3783891 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3764972 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3771829 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3753366 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/100000-4    	     500	   3733049 ns/op	 3227136 B/op	  101571 allocs/op
Benchmark/1000000-4   	      30	  42662631 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  45755983 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  44172869 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  44305100 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  43665081 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  44006422 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  47140595 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  43922035 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  44221122 ns/op	32251616 B/op	 1015633 allocs/op
Benchmark/1000000-4   	      30	  44224973 ns/op	32251616 B/op	 1015633 allocs/op
