Benchmark/0-4         	30000000	        39.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        42.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        40.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        40.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        39.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       106 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       106 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       106 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	20000000	       107 ns/op	     112 B/op	       3 allocs/op
Benchmark/10-4        	 2000000	       742 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       745 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       749 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       729 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       731 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       764 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       759 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       763 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       744 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 2000000	       750 ns/op	     688 B/op	      21 allocs/op
Benchmark/100-4       	  200000	      7267 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7114 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7443 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7338 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6866 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7186 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7149 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      7142 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6784 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  200000	      6845 ns/op	    6448 B/op	     201 allocs/op
Benchmark/1000-4      	   20000	     70153 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69519 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     69581 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     70318 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     70597 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     70362 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     72716 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     70337 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     72674 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   20000	     71654 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/10000-4     	    2000	    731476 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    735275 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    773798 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    751797 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    782383 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    744183 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    735455 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    726816 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    729026 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/10000-4     	    2000	    706579 ns/op	  640048 B/op	   20001 allocs/op
Benchmark/100000-4    	     100	  21194192 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  22275056 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  18689784 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  16982969 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  20163829 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  22869408 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  19055057 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  20389073 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  18807302 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  20050781 ns/op	 6400048 B/op	  200001 allocs/op
Benchmark/1000000-4   	      10	 151937071 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 167358136 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 170055175 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 167072225 ns/op	64000057 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 168018516 ns/op	64000057 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 177369580 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 177055260 ns/op	64000057 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 175506040 ns/op	64000057 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 182320296 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 174262650 ns/op	64000048 B/op	 2000001 allocs/op
