Benchmark/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        37.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        35.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       160 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       159 ns/op	     160 B/op	       4 allocs/op
Benchmark/10-4        	 3000000	       561 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       547 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       546 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       550 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       552 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       547 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       548 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       548 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       552 ns/op	     560 B/op	      14 allocs/op
Benchmark/10-4        	 3000000	       548 ns/op	     560 B/op	      14 allocs/op
Benchmark/100-4       	  300000	      4506 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4596 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4583 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4503 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4514 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4512 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4657 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4513 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4532 ns/op	    7152 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4589 ns/op	    7152 B/op	     107 allocs/op
Benchmark/1000-4      	   50000	     35485 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     34992 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     34838 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     35099 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     34831 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     35258 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     34878 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     34870 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     34989 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     34856 ns/op	   33936 B/op	    1013 allocs/op
Benchmark/10000-4     	    5000	    347064 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    351639 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    351541 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    348411 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    349106 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    352358 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    348997 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    348222 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    347647 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/10000-4     	    5000	    351279 ns/op	  322416 B/op	   10083 allocs/op
Benchmark/100000-4    	     500	   3699218 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3675514 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3686396 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3703885 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   4254330 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3679211 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3674360 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3710013 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3681787 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/100000-4    	     500	   3679144 ns/op	 3215472 B/op	  100787 allocs/op
Benchmark/1000000-4   	      30	  42519055 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  43049282 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  42260472 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  42625907 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  43828088 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  42322458 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  42059239 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  42729367 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  42296939 ns/op	32125392 B/op	 1007817 allocs/op
Benchmark/1000000-4   	      30	  42425117 ns/op	32125392 B/op	 1007817 allocs/op
