Benchmark/0-4 	  200000	      9896 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9829 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9792 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9991 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9850 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9846 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9955 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9837 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9862 ns/op	   65680 B/op	       3 allocs/op
Benchmark/0-4 	  200000	      9932 ns/op	   65680 B/op	       3 allocs/op
Benchmark/1-4 	  200000	     10118 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10132 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10187 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10114 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10194 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10215 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10103 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10101 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10158 ns/op	   65792 B/op	      10 allocs/op
Benchmark/1-4 	  200000	     10140 ns/op	   65792 B/op	      10 allocs/op
Benchmark/10-4         	  100000	     12100 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12022 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12098 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12011 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  200000	     12064 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12095 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  200000	     12059 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12179 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  100000	     12016 ns/op	   66800 B/op	      73 allocs/op
Benchmark/10-4         	  200000	     12068 ns/op	   66800 B/op	      73 allocs/op
Benchmark/100-4        	   50000	     29230 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29455 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29302 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29171 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29735 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29519 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29267 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29518 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29339 ns/op	   76880 B/op	     703 allocs/op
Benchmark/100-4        	   50000	     29217 ns/op	   76880 B/op	     703 allocs/op
Benchmark/1000-4       	   10000	    211183 ns/op	  243264 B/op	    7005 allocs/op
Benchmark/1000-4       	   10000	    213166 ns/op	  243264 B/op	    7005 allocs/op
