Benchmark/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       133 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       133 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       133 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
Benchmark/0-4 	10000000	       132 ns/op	     304 B/op	       2 allocs/op
Benchmark/1-4 	 5000000	       350 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       354 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       348 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       350 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 3000000	       362 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       348 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       349 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       356 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       346 ns/op	     416 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       348 ns/op	     416 B/op	       9 allocs/op
Benchmark/10-4         	 1000000	      2377 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2374 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2381 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2370 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2382 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2373 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2379 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2387 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	 1000000	      2374 ns/op	    1424 B/op	      72 allocs/op
Benchmark/10-4         	  500000	      2384 ns/op	    1424 B/op	      72 allocs/op
Benchmark/100-4        	   50000	     25427 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25548 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25710 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25323 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25299 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25297 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25270 ns/op	   22256 B/op	     714 allocs/op
Benchmark/100-4        	   50000	     25320 ns/op	   22256 B/op	     714 allocs/op
