Benchmark/0-4 	50000000	        36.7 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        35.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4 	 2000000	       611 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       622 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       611 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       619 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       613 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       612 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       613 ns/op	     432 B/op	      17 allocs/op
Benchmark/10-4         	  300000	      4573 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4637 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4581 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4591 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4588 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4606 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4594 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4665 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4587 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4613 ns/op	    6912 B/op	     109 allocs/op
Benchmark/100-4        	   50000	     30526 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     31054 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     30983 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     30534 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     30530 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     31220 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     30541 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     30662 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     30725 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     30524 ns/op	   29632 B/op	     927 allocs/op
Benchmark/1000-4       	    5000	    290386 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    290715 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    292579 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    290775 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    289704 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    290182 ns/op	  260992 B/op	    9111 allocs/op
