Benchmark/0-4 	30000000	        45.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        44.8 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        41.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        43.9 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        44.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        45.4 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        42.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        44.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	30000000	        49.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        43.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       597 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2000000	       544 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       537 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       516 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       512 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       625 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2000000	       554 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       540 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2000000	       638 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 3000000	       613 ns/op	     496 B/op	      15 allocs/op
Benchmark/10-4         	  200000	      5597 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5000 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4812 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      4842 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5424 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  200000	      5904 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5331 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5296 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5326 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  300000	      5120 ns/op	    4528 B/op	     141 allocs/op
Benchmark/100-4        	   30000	     51637 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     48978 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     49772 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     48776 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     49692 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     47998 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     51713 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     48939 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     50432 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   30000	     48653 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/1000-4       	    3000	    519083 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    524066 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    478466 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    477510 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    495076 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    493852 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    492032 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    498907 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    499924 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/1000-4       	    3000	    498014 ns/op	  448048 B/op	   14001 allocs/op
Benchmark/10000-4      	     300	   5288664 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5212701 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5148939 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5113162 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5137967 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5264399 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5545399 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5900258 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5809072 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/10000-4      	     300	   5117139 ns/op	 4480048 B/op	  140001 allocs/op
Benchmark/100000-4     	      20	  78583445 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  86444312 ns/op	44800052 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  82158641 ns/op	44800052 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  80435614 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  77371960 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  84922470 ns/op	44800052 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  82587061 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  91046177 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  76306077 ns/op	44800052 B/op	 1400001 allocs/op
Benchmark/100000-4     	      20	  79785959 ns/op	44800048 B/op	 1400001 allocs/op
Benchmark/1000000-4    	       2	 805140958 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 794242565 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 826680420 ns/op	448000096 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 854720112 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 857838706 ns/op	448000144 B/op	14000002 allocs/op
Benchmark/1000000-4    	       1	1023855342 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 883971404 ns/op	448000144 B/op	14000002 allocs/op
Benchmark/1000000-4    	       2	 883922965 ns/op	448000048 B/op	14000001 allocs/op
Benchmark/1000000-4    	       2	 889964777 ns/op	448000144 B/op	14000002 allocs/op
Benchmark/1000000-4    	       2	 902333550 ns/op	448000048 B/op	14000001 allocs/op
