Benchmark/0-4 	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.4 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        36.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       448 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       440 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       444 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       462 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       443 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       446 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       443 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       441 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       441 ns/op	     512 B/op	      11 allocs/op
Benchmark/1-4 	 3000000	       441 ns/op	     512 B/op	      11 allocs/op
Benchmark/10-4         	  500000	      2633 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2625 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2677 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2637 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2623 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2638 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2624 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2640 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2633 ns/op	    2544 B/op	      75 allocs/op
Benchmark/10-4         	  500000	      2625 ns/op	    2544 B/op	      75 allocs/op
Benchmark/100-4        	  100000	     22847 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     22965 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     22770 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     22769 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     22833 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     22889 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     22842 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     23058 ns/op	   20880 B/op	     709 allocs/op
Benchmark/100-4        	  100000	     22881 ns/op	   20880 B/op	     709 allocs/op
