Benchmark/0-4 	50000000	        38.3 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.3 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.6 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.3 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        40.8 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        39.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/0-4 	50000000	        38.2 ns/op	      32 B/op	       1 allocs/op
Benchmark/1-4 	 3000000	       431 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       432 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       437 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       447 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       430 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       434 ns/op	     232 B/op	      14 allocs/op
Benchmark/1-4 	 3000000	       431 ns/op	     232 B/op	      14 allocs/op
Benchmark/10-4         	  500000	      3264 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3250 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3283 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3228 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3254 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3239 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3335 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3240 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3225 ns/op	    2168 B/op	     101 allocs/op
Benchmark/10-4         	  500000	      3275 ns/op	    2168 B/op	     101 allocs/op
Benchmark/100-4        	  100000	     23955 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	  100000	     23982 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     24444 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     24186 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	  100000	     23920 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	  100000	     24176 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	  100000	     23981 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     24459 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	   50000	     23966 ns/op	   21336 B/op	     822 allocs/op
Benchmark/100-4        	  100000	     23991 ns/op	   21336 B/op	     822 allocs/op
Benchmark/1000-4       	    5000	    255690 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    254514 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    247323 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    247395 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    248066 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    247620 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    257108 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    248271 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    247745 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/1000-4       	    5000	    249486 ns/op	  214472 B/op	    8766 allocs/op
Benchmark/10000-4      	     500	   2771109 ns/op	 2947656 B/op	   87836 allocs/op
Benchmark/10000-4      	     500	   2856553 ns/op	 2947656 B/op	   87836 allocs/op
