Benchmark/1-4                	  500000	      3315 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3405 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3438 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3382 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3373 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3414 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3357 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3359 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3393 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3459 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     31381 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31741 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32570 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31326 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31117 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31671 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31543 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32040 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31402 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31628 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    307973 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    310752 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    304963 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    302980 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    307285 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    299234 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    302832 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    309162 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    310592 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    308005 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3057901 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2986853 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3071478 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3004888 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2986957 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3087890 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3035157 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2975927 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3060714 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3004651 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  32430843 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32226497 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30750811 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31742914 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31444490 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30583245 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31158126 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31064500 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31272196 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31649696 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 356332649 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 345290650 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 360448458 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 367545298 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 356086312 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 348808987 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 357020381 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 353989474 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 356703767 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 351789717 ns/op	160570922 B/op	10000017 allocs/op
