Benchmark/1-4                	  500000	      3581 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3571 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3609 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3565 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3595 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3589 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3587 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3569 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3608 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3581 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     35370 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34926 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35502 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34644 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34997 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34938 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35188 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34994 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34551 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35127 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    338234 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    339944 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    338594 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    336665 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    335907 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    337065 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    337923 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    337633 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    340038 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    339255 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3366031 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3402454 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3388343 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3392877 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3421049 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3388639 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3376967 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3378388 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3410572 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3401869 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  36863365 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36861942 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36679744 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36756786 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36555948 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36671342 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36769101 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36762954 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  37228502 ns/op	30116235 B/op	 1006812 allocs/op
Benchmark/10000-4            	      50	  36759870 ns/op	30116233 B/op	 1006812 allocs/op
Benchmark/100000-4           	       3	 397949402 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 393289524 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 392674181 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 396809332 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 393536540 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 394275105 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 393569382 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 394164767 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 393205845 ns/op	319815226 B/op	10077132 allocs/op
Benchmark/100000-4           	       3	 393495294 ns/op	319815226 B/op	10077132 allocs/op
