Benchmark/1-4            	  500000	      3163 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3200 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3152 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3143 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3238 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3186 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3169 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3185 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3163 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3136 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     31412 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32717 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32052 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31122 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31249 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31909 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32384 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31808 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     30890 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31907 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    313277 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    305060 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    310735 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    300993 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    309070 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    310094 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    311102 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    303372 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    306574 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    304916 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3108059 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3119789 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3102911 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3007785 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3186709 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3080015 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3110560 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3134639 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3117457 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3085964 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  31098023 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31088379 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31985861 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30516035 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31525069 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31987958 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31856586 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30743983 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31313056 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31097908 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 356981669 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 346892474 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 343748992 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 381040673 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 341545858 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 344538516 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 349551310 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 345813716 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 340363202 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 345440652 ns/op	160000000 B/op	10000000 allocs/op
