Benchmark/1-4            	  500000	      3643 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3605 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3690 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3647 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3599 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  300000	      3851 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3714 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3642 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3617 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3599 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     37300 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36679 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36997 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36689 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37148 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36722 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     37171 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36547 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36755 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36004 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    351734 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    364626 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    365407 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    359027 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    354172 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3000	    362090 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    346300 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    352924 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    351939 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    360834 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3640033 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3669674 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3446905 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3526877 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3481936 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3640483 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3658475 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3590923 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3699117 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3575383 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  38111846 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36008006 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  35515378 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36736285 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36012599 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36810614 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  36927780 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  35662139 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37712697 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  37133490 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 667187707 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 666096666 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 677917151 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 664254461 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 667432392 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 679499712 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 667531358 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 664830105 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 676942193 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 673612817 ns/op	631859200 B/op	10000400 allocs/op
