Benchmark/1-4            	  500000	      3760 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3782 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3749 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3797 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3786 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3753 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3761 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3768 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3748 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  500000	      3765 ns/op	    3225 B/op	     101 allocs/op
Benchmark/10-4           	   50000	     37748 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     37599 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     37690 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     37597 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     37462 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     37883 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     38124 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     37906 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     38022 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   50000	     38125 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/100-4          	    5000	    369047 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    365840 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    365609 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    364398 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    363881 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    367232 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    369730 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    365925 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    368470 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    5000	    363913 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/1000-4         	     500	   3622424 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3707271 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3658195 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3620224 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3697930 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3662507 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3621408 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3660102 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3640641 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/1000-4         	     500	   3725536 ns/op	 3225000 B/op	  101562 allocs/op
Benchmark/10000-4        	      50	  36594757 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  36908058 ns/op	32250001 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  36847706 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  37042861 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  36919852 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  36678975 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  37021759 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  37345037 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  36871792 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/10000-4        	      50	  36713070 ns/op	32250000 B/op	 1015625 allocs/op
Benchmark/100000-4       	       3	 374959650 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 372021677 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 372830739 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 373928030 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 373313967 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 375619326 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 377671382 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 376375133 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 372765518 ns/op	322500000 B/op	10156250 allocs/op
Benchmark/100000-4       	       3	 381707368 ns/op	322500000 B/op	10156250 allocs/op
