Benchmark/1-4            	  200000	      9562 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      9045 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8855 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      9009 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      9232 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8998 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8885 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      8701 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      9422 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  200000	      9044 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4           	   20000	     92439 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     91726 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     88766 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     88541 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   10000	    120618 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     94481 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     96063 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   10000	    102838 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     90491 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   20000	     91956 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4          	    2000	    896192 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    974166 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    1000	   1225018 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    917288 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    844230 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    836871 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    874750 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    869047 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    918367 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    2000	    882556 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4         	     200	   9247024 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	  10255922 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     100	  10203121 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9992943 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9065101 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     100	  10580937 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	  11299627 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     100	  11104023 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     100	  10179283 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4         	     200	   9214597 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/10000-4        	      20	  91540495 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  95158148 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  92632570 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  92554002 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  93816159 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  93533550 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  91149419 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	 101087794 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  92942754 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/10000-4        	      20	  95556871 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/100000-4       	       1	1508079407 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1701388088 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1708007132 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1732098491 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1740256572 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1456358366 ns/op	640000000 B/op	20000000 allocs/op
Benchmark/100000-4       	       1	1695706189 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1867870107 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1786827847 ns/op	640000192 B/op	20000002 allocs/op
Benchmark/100000-4       	       1	1672827185 ns/op	640000000 B/op	20000000 allocs/op
