Benchmark/1-4            	  500000	      3310 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3341 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3326 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3313 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3304 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3332 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3280 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3290 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3366 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3288 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     33510 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33863 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     32888 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33347 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33516 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33121 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33062 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33519 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33394 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33299 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    327135 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    317322 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    324473 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    324474 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    331672 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    325332 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    322982 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    317141 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    328093 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    320173 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3215587 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3246632 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3204079 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3208616 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3250283 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3186815 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3185823 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3165920 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3208537 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3136544 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  31717160 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31989257 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31762925 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  32334331 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31662402 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31981449 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31870182 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31749125 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31766194 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31716620 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 349662246 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 360757171 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 349405373 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 346212718 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 348182540 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 346815404 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 347584463 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 350051312 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 349770598 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 348533952 ns/op	160000000 B/op	10000000 allocs/op
