Benchmark/1-4                	  200000	      9277 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9304 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9385 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9299 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9287 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9401 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9345 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9278 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9379 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  200000	      9297 ns/op	    6400 B/op	     300 allocs/op
Benchmark/10-4               	   20000	     69190 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69167 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69336 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69698 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69391 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69262 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69536 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69228 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     69875 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   20000	     68866 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/100-4              	    3000	    409471 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    409058 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    412427 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    408551 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    408781 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    408554 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    413341 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    409109 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    408503 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/100-4              	    3000	    409111 ns/op	  420800 B/op	   10800 allocs/op
Benchmark/1000-4             	     500	   3614072 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3613826 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3630701 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3611132 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3649353 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3623657 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3611352 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3655324 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3611601 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/1000-4             	     500	   3634681 ns/op	 3316800 B/op	  102200 allocs/op
Benchmark/10000-4            	      50	  36341144 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36063871 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36029284 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36205446 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36046266 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36019382 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  37935849 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36257309 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36027116 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/10000-4            	      50	  36444692 ns/op	32276800 B/op	 1016200 allocs/op
Benchmark/100000-4           	       3	 380168941 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 379909651 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 381297295 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 381001651 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 383685583 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 379206911 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 381774625 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 379354041 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 379061695 ns/op	322708816 B/op	10157000 allocs/op
Benchmark/100000-4           	       3	 379122573 ns/op	322708816 B/op	10157000 allocs/op
