Benchmark/1-4                	  200000	      7320 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7523 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7508 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7710 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7717 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7547 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7807 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7470 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7478 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  200000	      7635 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4               	   20000	     70111 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     69077 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     68269 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     68913 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     71100 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     72690 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     73659 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     71511 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     75020 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   20000	     70360 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4              	    2000	    719512 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    725611 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    741650 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    702820 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    758884 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    737752 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    733727 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    689659 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    684962 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4              	    2000	    683800 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4             	     200	   6854824 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6913627 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6936637 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   6940263 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7005557 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7468400 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7560525 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7534209 ns/op	 6400001 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7735231 ns/op	 6400001 B/op	  200000 allocs/op
Benchmark/1000-4             	     200	   7920204 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/10000-4            	      20	  75610613 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  72073258 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  72799439 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  71294055 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  73801064 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  73103114 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  73813950 ns/op	64000007 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  71034223 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  69662642 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/10000-4            	      20	  70245598 ns/op	64000002 B/op	 2000000 allocs/op
Benchmark/100000-4           	       1	1975597411 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1999037106 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2149201790 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2124095311 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1823423543 ns/op	640000144 B/op	20000002 allocs/op
Benchmark/100000-4           	       1	1987844509 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1715747076 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	1966236853 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2131087861 ns/op	640000048 B/op	20000001 allocs/op
Benchmark/100000-4           	       1	2037395490 ns/op	640000048 B/op	20000001 allocs/op
