Benchmark/1-4                	  500000	      3390 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3365 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3377 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3399 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3370 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3384 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3367 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3385 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3438 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3373 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     32598 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32914 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32681 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32325 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32056 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32150 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32120 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32191 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32061 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32127 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    311914 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    311892 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    310780 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    310710 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    314246 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    314269 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    310078 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    312295 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    313104 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    312666 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3173435 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3136814 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3181699 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3118164 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3211547 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3143982 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3194069 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3186471 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3190030 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3173219 ns/op	 1600044 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  31586254 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  31358649 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  32082354 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  31760549 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  31994903 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  31566198 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  31390769 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  31612456 ns/op	16003332 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  32165315 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/10000-4            	      50	  31262975 ns/op	16003330 B/op	 1000001 allocs/op
Benchmark/100000-4           	       3	 347890555 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 351438944 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 352072621 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 352269076 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 349839425 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 351343909 ns/op	160539898 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 356239702 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 348432618 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 354004894 ns/op	160539866 B/op	10000263 allocs/op
Benchmark/100000-4           	       3	 350496780 ns/op	160539866 B/op	10000263 allocs/op
