Benchmark/1-4                	  300000	      5618 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5558 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5531 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5606 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5545 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5565 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5545 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5536 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5544 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  300000	      5524 ns/op	    2400 B/op	     200 allocs/op
Benchmark/10-4               	   30000	     43913 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43192 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43271 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43322 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43468 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43471 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43936 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43429 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43384 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   30000	     43141 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/100-4              	    5000	    322573 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    322448 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    315152 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    317976 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    318998 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    319471 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    319306 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    321933 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    320807 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/100-4              	    5000	    321077 ns/op	  313600 B/op	   10100 allocs/op
Benchmark/1000-4             	     500	   3048168 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3074227 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3043450 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3028453 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3062132 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3059627 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3028203 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3037977 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3033177 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/1000-4             	     500	   3001238 ns/op	 3148819 B/op	  100200 allocs/op
Benchmark/10000-4            	      50	  37177617 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  36958333 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  37008060 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  37251251 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      30	  37016313 ns/op	48769954 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  36044122 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  36840446 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  37336953 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  37015130 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/10000-4            	      50	  37261887 ns/op	48769172 B/op	 1000600 allocs/op
Benchmark/100000-4           	       2	 783359988 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 811016687 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 786077160 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 797921649 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 806472592 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 797317793 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 807962851 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 782628950 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 796750556 ns/op	547883660 B/op	10000943 allocs/op
Benchmark/100000-4           	       2	 802298074 ns/op	547883660 B/op	10000943 allocs/op
