Benchmark/1-4          	50000000	        32.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       336 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       334 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       331 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       336 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       334 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       333 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3282 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3245 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3290 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3289 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3233 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3277 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3356 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3255 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3246 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3279 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     32493 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32510 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32400 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32470 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32479 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32457 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34667 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34032 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33511 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     32702 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    323481 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    334606 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    327670 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    327851 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    320886 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    322075 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    324271 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    326524 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    328432 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    325985 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3255846 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3266462 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3229777 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3238357 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3253855 ns/op	 1600000 B/op	  100000 allocs/op
