Benchmark/1-4          	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       349 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       346 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       346 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       346 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       347 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       347 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3430 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3393 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3369 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3422 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3455 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3417 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3389 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3389 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3432 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3954 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     33891 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33607 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33948 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33914 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33717 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33674 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33958 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33735 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33707 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33623 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    335950 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    336104 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    338463 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    339205 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    337830 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    336944 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    338119 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    335869 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    341177 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    335826 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3411340 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3373053 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3379538 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3368926 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3369503 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3387499 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3367397 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3374871 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3407855 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3381208 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  33866332 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34327071 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33787131 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33855575 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33579941 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33636875 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33791846 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33925667 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33719329 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33857292 ns/op	16000000 B/op	 1000000 allocs/op
