Benchmark/1-4          	30000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       346 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       342 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       342 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       342 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       340 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       344 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       344 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       346 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3345 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3313 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3335 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      3392 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3342 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3335 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3345 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3340 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3335 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3352 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     33806 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33348 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33703 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33977 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33560 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33349 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33631 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33307 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33510 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34357 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    334816 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    333196 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    338073 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    332603 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    331613 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    335043 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    332376 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    333532 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    336226 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    336849 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3370805 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3359859 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3326726 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3342153 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3367350 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3368669 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3304966 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3499318 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3374015 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3382583 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  33296306 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33421253 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33583520 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33502685 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33624652 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33290748 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33402585 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33562917 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33326089 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33800084 ns/op	16000000 B/op	 1000000 allocs/op
