Benchmark/1-4          	20000000	        92.5 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        90.2 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        90.0 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        96.5 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        99.3 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        93.9 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        90.5 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        90.4 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        90.3 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	20000000	        90.5 ns/op	      64 B/op	       3 allocs/op
Benchmark/10-4         	 2000000	       906 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       907 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       916 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       920 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       921 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       910 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       910 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       905 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       904 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 2000000	       903 ns/op	     640 B/op	      30 allocs/op
Benchmark/100-4        	  200000	      9077 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9034 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9007 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9033 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9016 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      8989 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9022 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      8950 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      9007 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  200000	      8975 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1000-4       	   20000	     89704 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	    109322 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     90238 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   20000	     89807 ns/op	   64000 B/op	    3000 allocs/op
