Benchmark/1-4          	20000000	        68.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.5 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        66.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        67.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4         	 2000000	       678 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       683 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       675 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       677 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       683 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       676 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       683 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       683 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       672 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       676 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4        	  200000	      6735 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6657 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6665 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6701 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6645 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6700 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6658 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6705 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6647 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4        	  200000	      6727 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4       	   20000	     66244 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     68787 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     67096 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     66770 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     67875 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     67322 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     67008 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     66889 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     67457 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     66965 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4      	    2000	    665583 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    667230 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    676835 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    669570 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    669528 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    670464 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    677623 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    668400 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    664711 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    666382 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100000-4     	     200	   6689792 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6610146 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6678772 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6666358 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6636230 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6651687 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6682810 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6629772 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6617705 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   6677202 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000000-4    	      20	  66134016 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66197309 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66193835 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66368504 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  65989049 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66072206 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66006954 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66353956 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66221709 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      20	  66056650 ns/op	64000000 B/op	 2000000 allocs/op
