Benchmark/1-4          	50000000	        34.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        33.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       341 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       349 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       344 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       341 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       345 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       344 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3354 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3358 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3345 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3344 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3339 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3353 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3358 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3356 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3340 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3371 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     33505 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33285 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33652 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33919 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33551 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33670 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33558 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33304 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33308 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33351 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    335134 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    334077 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    383512 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    333594 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    333039 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    332372 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    335053 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    333914 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    335962 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    332963 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     500	   3327879 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3366657 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3325419 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3380898 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3313227 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3343290 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3328419 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3339622 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3332653 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3323100 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  33288792 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33379085 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33172107 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33686719 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33565816 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33207407 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33518361 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33265571 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33363538 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33281249 ns/op	16000000 B/op	 1000000 allocs/op
