Benchmark/1-4          	  200000	      9982 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9967 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9959 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9939 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10037 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9977 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     11241 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	     10060 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9964 ns/op	   65712 B/op	       5 allocs/op
Benchmark/1-4          	  200000	      9968 ns/op	   65712 B/op	       5 allocs/op
Benchmark/10-4         	  200000	     10714 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10650 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10663 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10545 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10683 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     11239 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10603 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10558 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10703 ns/op	   66000 B/op	      23 allocs/op
Benchmark/10-4         	  200000	     10540 ns/op	   66000 B/op	      23 allocs/op
Benchmark/100-4        	  100000	     15735 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15758 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15767 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15804 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15835 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15798 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15789 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15861 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15729 ns/op	   68880 B/op	     203 allocs/op
Benchmark/100-4        	  100000	     15729 ns/op	   68880 B/op	     203 allocs/op
Benchmark/1000-4       	   20000	     68124 ns/op	   97680 B/op	    2003 allocs/op
