Benchmark/1-4          	10000000	       203 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       203 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       201 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       203 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       202 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       201 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       202 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       202 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       202 ns/op	     208 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       202 ns/op	     208 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1176 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1190 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1178 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1170 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1182 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1175 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1178 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1178 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1172 ns/op	    1776 B/op	      25 allocs/op
Benchmark/10-4         	 1000000	      1177 ns/op	    1776 B/op	      25 allocs/op
Benchmark/100-4        	  200000	      7969 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7960 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7972 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7980 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7972 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7996 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8001 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7969 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      7979 ns/op	    8800 B/op	     207 allocs/op
Benchmark/100-4        	  200000	      8123 ns/op	    8800 B/op	     207 allocs/op
Benchmark/1000-4       	   20000	     70054 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70551 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70122 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70189 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70181 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70361 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70267 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70325 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70352 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/1000-4       	   20000	     70183 ns/op	   54176 B/op	    2015 allocs/op
Benchmark/10000-4      	    2000	    695459 ns/op	  487216 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    696192 ns/op	  487216 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    698161 ns/op	  487216 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    700135 ns/op	  487216 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    704806 ns/op	  487216 B/op	   20085 allocs/op
Benchmark/10000-4      	    2000	    695292 ns/op	  487216 B/op	   20085 allocs/op
