Benchmark/1-4          	10000000	       205 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       204 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       204 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       204 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       203 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       204 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       205 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       203 ns/op	     336 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       203 ns/op	     336 B/op	       4 allocs/op
Benchmark/10-4         	 2000000	       804 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       816 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       800 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       797 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       803 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       797 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       796 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       800 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       804 ns/op	     624 B/op	      22 allocs/op
Benchmark/10-4         	 2000000	       797 ns/op	     624 B/op	      22 allocs/op
Benchmark/100-4        	  200000	      8318 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8266 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8269 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8321 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8281 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8301 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8271 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8362 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8271 ns/op	    8880 B/op	     208 allocs/op
Benchmark/100-4        	  200000	      8305 ns/op	    8880 B/op	     208 allocs/op
