Benchmark/1-4          	10000000	       224 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       226 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       224 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       226 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       225 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       225 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       226 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       224 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       225 ns/op	     160 B/op	       6 allocs/op
Benchmark/1-4          	10000000	       224 ns/op	     160 B/op	       6 allocs/op
Benchmark/10-4         	 1000000	      1546 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1565 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1549 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1543 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1553 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1557 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1541 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1542 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1548 ns/op	    2976 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1553 ns/op	    2976 B/op	      29 allocs/op
Benchmark/100-4        	  200000	      7641 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7623 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7621 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7656 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7588 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7605 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7895 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7715 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7592 ns/op	    7936 B/op	     211 allocs/op
Benchmark/100-4        	  200000	      7621 ns/op	    7936 B/op	     211 allocs/op
Benchmark/1000-4       	   20000	     70970 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     69742 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     70066 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     70847 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     69989 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     69712 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     69823 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     70467 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     69767 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/1000-4       	   20000	     69756 ns/op	   65856 B/op	    2039 allocs/op
Benchmark/10000-4      	    2000	    701421 ns/op	  647136 B/op	   20321 allocs/op
Benchmark/10000-4      	    2000	    705801 ns/op	  647136 B/op	   20321 allocs/op
Benchmark/10000-4      	    2000	    706374 ns/op	  647136 B/op	   20321 allocs/op
Benchmark/10000-4      	    2000	    704052 ns/op	  647136 B/op	   20321 allocs/op
Benchmark/10000-4      	    2000	    700037 ns/op	  647136 B/op	   20321 allocs/op
