Benchmark/1-4          	10000000	       174 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       173 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       173 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	     176 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       172 ns/op	     176 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1390 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1379 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1380 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1379 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1393 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1380 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1376 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1380 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1404 ns/op	    1328 B/op	      41 allocs/op
Benchmark/10-4         	 1000000	      1378 ns/op	    1328 B/op	      41 allocs/op
Benchmark/100-4        	  100000	     13323 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13313 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13313 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13262 ns/op	   12848 B/op	     401 allocs/op
Benchmark/100-4        	  100000	     13286 ns/op	   12848 B/op	     401 allocs/op
