Benchmark/1-4          	10000000	       151 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       153 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       151 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       153 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       151 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       153 ns/op	      88 B/op	       5 allocs/op
Benchmark/1-4          	10000000	       154 ns/op	      88 B/op	       5 allocs/op
Benchmark/10-4         	 1000000	      1081 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1075 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1067 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1095 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1049 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1055 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1045 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1046 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1045 ns/op	     776 B/op	      29 allocs/op
Benchmark/10-4         	 1000000	      1076 ns/op	     776 B/op	      29 allocs/op
Benchmark/100-4        	  200000	      6898 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6922 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6882 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6946 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6919 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6916 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6936 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6951 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6912 ns/op	    6664 B/op	     214 allocs/op
Benchmark/100-4        	  200000	      6947 ns/op	    6664 B/op	     214 allocs/op
Benchmark/1000-4       	   20000	     62676 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     63614 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     62615 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     62500 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     63379 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     63246 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     62477 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     64921 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     63371 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/1000-4       	   20000	     62435 ns/op	   73992 B/op	    2020 allocs/op
Benchmark/10000-4      	    2000	    727401 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    735294 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    729096 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    728431 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    723103 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    729249 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    723884 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    724016 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    722668 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/10000-4      	    2000	    728718 ns/op	  990600 B/op	   20034 allocs/op
Benchmark/100000-4     	     100	  13410219 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13436073 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13464109 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13727739 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13430852 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13565740 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13360675 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  14099367 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13146447 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/100000-4     	     100	  13333954 ns/op	11415432 B/op	  200052 allocs/op
Benchmark/1000000-4    	      10	 156969623 ns/op	114574216 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 170258472 ns/op	114574225 B/op	 2000071 allocs/op
Benchmark/1000000-4    	      10	 175854747 ns/op	114574216 B/op	 2000071 allocs/op
