Benchmark/1-4                	50000000	        30.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        32.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        32.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       340 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       330 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       333 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       332 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       319 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       336 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       325 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       326 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       331 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3228 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3082 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3039 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3178 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3229 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3228 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3185 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3055 ns/op	    1600 B/op	     100 allocs/op
