Benchmark/1-4                	50000000	        33.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       339 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       342 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       343 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       339 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       338 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       340 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       337 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       339 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3331 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3319 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3370 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3325 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3352 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3336 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3344 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3325 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3315 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3294 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     33571 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33055 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33033 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33344 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33050 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33663 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33057 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33067 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33098 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     32873 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    336884 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    332832 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    341324 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    344711 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    333868 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    330834 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    331191 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    333142 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    331906 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    330260 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   3283862 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3473981 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3605891 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3541888 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3466332 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3362328 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3327446 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3304217 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3406845 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3322260 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  33164133 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33490276 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33140155 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33319866 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33501149 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33384746 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33043581 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33561442 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33436107 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  33199395 ns/op	16000000 B/op	 1000000 allocs/op
