Benchmark/1-4                	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        33.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       346 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       344 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       347 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       345 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       354 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3378 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3430 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3523 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3477 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3402 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3479 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3516 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3387 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3419 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3398 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     34980 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     33275 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34733 ns/op	   16000 B/op	    1000 allocs/op
