Benchmark/1-4                	20000000	        81.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        83.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        86.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        85.7 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        95.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        84.7 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        79.7 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        81.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        91.3 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        83.5 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4               	 2000000	       833 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       887 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       904 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       878 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       922 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       806 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 1000000	      1014 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       839 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       824 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       818 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4              	  200000	      8131 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8145 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8165 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8096 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8079 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8248 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      9123 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8730 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8439 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      8582 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4             	   20000	     83865 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     82988 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     92940 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     87046 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     89856 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     87408 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     85275 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     80163 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     82981 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     86996 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4            	    2000	    886719 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    879617 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    847875 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    829674 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    859293 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    883100 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    818328 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    804751 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    836300 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    816391 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100000-4           	     200	   8714136 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   9260736 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   9282376 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   9215669 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   8759040 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   7817319 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   8072628 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   8940102 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   8673116 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   8940218 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000000-4          	      20	  88475477 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  78414992 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  79463917 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  94633773 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  96979079 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  95031708 ns/op	64000009 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  91920271 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  85109507 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  79311445 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  78676775 ns/op	64000000 B/op	 2000000 allocs/op
