Benchmark/1-4                	50000000	        32.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        32.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       317 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       318 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       319 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       324 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       327 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       318 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       320 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       320 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       320 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       316 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3146 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3086 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3120 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3128 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3098 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3089 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3122 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3084 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3096 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3110 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     31273 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     31404 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30956 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     31345 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     31025 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30916 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     30740 ns/op	   16000 B/op	    1000 allocs/op
