Benchmark/1-4                	50000000	        38.4 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.1 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.5 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.6 ns/op	      48 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       368 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       365 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       365 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       364 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       365 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       363 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       364 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       367 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       370 ns/op	     481 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       365 ns/op	     481 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3562 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3559 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3566 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3594 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3561 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3560 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3582 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3569 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3592 ns/op	    4815 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3600 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     35625 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35835 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35609 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35607 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     35638 ns/op	   48154 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35598 ns/op	   48153 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35666 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35573 ns/op	   48155 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35609 ns/op	   48155 B/op	    1000 allocs/op
