goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillCookiejar/0-4         	  200000	      9818 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     10899 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     10712 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  100000	     10722 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     10696 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     11081 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  100000	     10785 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  100000	     10462 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  100000	     10921 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     12305 ns/op	   65680 B/op	       3 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	     10012 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9732 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9777 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9848 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9741 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9830 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9794 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9759 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	     10345 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	     10864 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejar/10-4        	  100000	     11798 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     11447 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  100000	     11460 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  100000	     11355 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     10157 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     11943 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     10207 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     10226 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     10224 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     10157 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12771 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12949 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12861 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12844 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12943 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12917 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12871 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12787 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12749 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/100-4       	  100000	     12920 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     40259 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     40101 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     40155 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     40540 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejar/1000-4      	   30000	     40534 ns/op	   81680 B/op	    1003 allocs/op
