goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillDeque/0-4         	50000000	        37.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	30000000	        37.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.5 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        38.7 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.3 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        39.1 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        38.8 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/0-4         	50000000	        37.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkFillDeque/1-4         	10000000	       173 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       176 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       189 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       187 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       191 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       184 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       173 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/1-4         	10000000	       172 ns/op	     192 B/op	       4 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       590 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       588 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 2000000	       591 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       589 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       592 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       589 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       588 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       587 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       587 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/10-4        	 3000000	       589 ns/op	     592 B/op	      14 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4856 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4772 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4776 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4780 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4774 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4778 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4778 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4794 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4790 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/100-4       	  300000	      4776 ns/op	    7200 B/op	     107 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37181 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37154 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37315 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37208 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37093 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37190 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37232 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     38371 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37793 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/1000-4      	   50000	     37106 ns/op	   34032 B/op	    1013 allocs/op
BenchmarkFillDeque/10000-4     	    5000	    368490 ns/op	  323072 B/op	   10083 allocs/op
