goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillImpl7/0-4         	50000000	        37.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	30000000	        36.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        35.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        36.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/0-4         	50000000	        35.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       134 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       135 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       135 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       737 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       744 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       729 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       733 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       729 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       731 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       728 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       730 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       736 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/10-4        	 2000000	       729 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4098 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4070 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4168 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4085 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7/100-4       	  300000	      4093 ns/op	    4256 B/op	     109 allocs/op
