goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillSlice/0-4         	30000000	        40.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	30000000	        38.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	30000000	        38.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	50000000	        39.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	50000000	        40.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	50000000	        39.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	50000000	        39.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	50000000	        40.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	50000000	        38.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/0-4         	50000000	        38.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSlice/1-4         	20000000	        95.2 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        94.3 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        97.1 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        94.6 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        94.6 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        94.3 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        95.2 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        93.7 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        93.6 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/1-4         	20000000	        99.6 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       578 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       584 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       576 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       575 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       585 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       579 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       591 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       576 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       576 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/10-4        	 3000000	       585 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3697 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3675 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3701 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3690 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3964 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      4043 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3688 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3795 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3731 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/100-4       	  500000	      3674 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31123 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSlice/1000-4      	   50000	     31154 ns/op	   32408 B/op	    1012 allocs/op
